path,categories,uz,total_hits,ext
dataset3/Prikaz-293-OD_Bachelor-Specialist.pdf,{},нет признаков,0,pdf
dataset3/Competitions_RFFI_list-2018_05.15-info.pdf,{},нет признаков,0,pdf
dataset3/%D0%A0%D0%90%D0%A1_146-%D1%80.pdf,"{""обычные"": 6, ""специальные"": 1}",УЗ-1,7,pdf
dataset3/mc201308.pdf,"{""обычные"": 28, ""специальные"": 1}",УЗ-1,29,pdf
dataset3/protokol_25.pdf,"{""обычные"": 7, ""специальные"": 1}",УЗ-1,8,pdf
dataset3/Программа VIII  научного семинара Лаборатории экспериментальной лингвистики АГУ  Клиническая лингвистика.docx,"{""обычные"": 5, ""специальные"": 1}",УЗ-1,6,docx
dataset3/rasp_dop_mag.pdf,"{""обычные"": 3}",УЗ-4,3,pdf
dataset3/user_registration_in_EBS_Lan.docx,"{""обычные"": 2}",УЗ-4,2,docx
dataset3/program.pdf,"{""обычные"": 5, ""биометрические"": 1, ""специальные"": 1}",УЗ-1,7,pdf
dataset3/%D0%A0%D0%90%D0%A1_546-%D1%80.pdf,"{""обычные"": 3}",УЗ-4,3,pdf
dataset3/Свидетельство 38.04.01.pdf,{},нет признаков,0,pdf
