path,categories,uz,total_hits,ext,trace
Прочее\%D0%A0%D0%90%D0%A1_419-%D1%80%20%D0%B4%D0%B5%D0%BD%D1%8C%20%D0%B2%D1%8B%D0%BF%D1%83%D1%81%D0%BA%D0%BD%D0%B8%D0%BA%D0%B0.pdf,"{'обычные': 26, 'специальные': 2}",УЗ-1,28,.pdf,
Прочее\%D0%A0%D0%90%D0%A1_546-%D1%80.pdf,{'обычные': 3},УЗ-4,3,.pdf,
Прочее\%D0%A0%D0%90%D0%A1_669-%D1%80.pdf,{'обычные': 1},УЗ-4,1,.pdf,
Прочее\%D0%A0%D0%90%D0%A1_712-%D1%80%20%D0%BE%D0%B1%D1%89%D0%B5%D0%B5%20%D1%81%D0%BE%D0%B1%D1%80%D0%B0%D0%BD%D0%B8%D0%B5%20%D0%90%D1%81%D1%81%D0%BE%D1%86%D0%B8%D0%B0%D1%86%D0%B8%D0%B8.pdf,{},NO_PDN,0,.pdf,
Прочее\%D0%A0%D0%90%D0%A1_715-%D1%80%20HR.pdf,"{'обычные': 8, 'специальные': 1}",УЗ-1,9,.pdf,
Прочее\%D0%A0%D0%90%D0%A1_766-%D1%80.pdf,{},NO_PDN,0,.pdf,
Прочее\%D0%A0%D0%90%D0%A1_842-%D1%80%20%D0%94%D0%BD%D0%B8%20%D0%BD%D0%B0%D1%83%D1%87%D0%BD%D0%BE%D0%B3%D0%BE%20%D0%90%D0%BA%D0%B8%D0%BD%D0%BE.pdf,{},NO_PDN,0,.pdf,
Прочее\%D0%A0%D0%90%D0%A1_95-%D1%80%20%D0%9F%D1%80%D0%B5%D1%81%D1%82%D0%B8%D0%B6%20%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D0%BE%D0%B4%D0%B0%D1%82%D0%B5%D0%BB%D0%B0%D0%B5%D0%B9.pdf,{},NO_PDN,0,.pdf,
Прочее\%D0%A0%D0%90%D0%A1_95-%D1%80%20%D0%9F%D1%80%D0%B5%D1%81%D1%82%D0%B8%D0%B6%20%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D0%BE%D0%B4%D0%B0%D1%82%D0%B5%D0%BB%D0%B5%D0%B9.pdf,"{'обычные': 12, 'специальные': 1}",УЗ-1,13,.pdf,
Прочее\%D0%A0%D0%90%D0%A1_988-%D1%80%20%D0%9E%D0%B1%20%D0%BE%D1%80%D0%B3%D0%B0%D0%BD%D0%B8%D0%B7%D0%B0%D1%86%D0%B8%D0%B8%20%D0%B4%D0%B8%D0%B0%D0%B3%D0%BD%D0%BE%D1%81%D1%82%D0%B8%D0%BA%D0%B8%20%D0%A3%D0%9A.pdf,"{'обычные': 4, 'специальные': 2}",УЗ-1,6,.pdf,
Прочее\%D0%A0%D0%9F%D0%94%20%D0%B8%20%D0%9A%D0%9F%2015.02.10%20(2).pdf,"{'обычные': 72, 'специальные': 2}",УЗ-1,74,.pdf,
Прочее\%D0%A0%D0%B5%D0%BA%D0%BE%D0%BC%D0%B5%D0%BD%D0%B4%D0%B0%D1%86%D0%B8%D1%8F%20%D0%92%D0%90%D0%9A%2032-1-%D0%BD%D1%81%20%D0%BE%D1%82%2010.12.2021.pdf,{},NO_PDN,0,.pdf,
Прочее\%D0%A0384.pdf,{},NO_PDN,0,.pdf,
